"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lon","lat"
"x542984753","x1100824386523840513",2019-02-27 18:26:00,"Karenamoores","Thankful for my #flushot. Winter ailments like today's could be a lot worse. 
And thanks for your ongoing advocacy to keep the little ones we love and their adults safe, @jillpromoli.","Twitter Web Client",183,,,,FALSE,FALSE,3,0,"flushot",,,,,,,,,,,,,"x32871593","jillpromoli","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Karenamoores/status/1100824386523840513","Karen Moores","Canada","Lover of a good story, big skies, bigger seas + extreme seasons. Proudest Auntie and dog owner. Believer in the power of Canadian entrepreneurs.",,FALSE,2666,1388,98,30689,46344,2012-04-02 00:58:01,FALSE,,,"en","https://pbs.twimg.com/profile_banners/542984753/1547959586","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/738802426614976512/Fle9NfXc_normal.jpg",-106.346771,56.130366
"x849811413501583360","x1100820502715613184",2019-02-27 18:10:34,"MT_Headed406","Here's to 22 years of not getting a #FluShot.  It is weird I know tons of people that get flu shots religiously, and end up with the flu.  I don't recall the last time I had it. #VaccinesWork ?","Twitter for Android",193,,,,FALSE,FALSE,3,0,"FluShot VaccinesWork",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MT_Headed406/status/1100820502715613184","Axel Wolf <U+0001F468><U+0001F43B><U+0001F416> (manBEARpig )","Washington, USA","Maximum Freedom",,FALSE,108,80,0,600,680,2017-04-06 02:30:04,FALSE,,,"en","https://pbs.twimg.com/profile_banners/849811413501583360/1491446153",,"http://pbs.twimg.com/profile_images/849812884448174080/1tegmCmp_normal.jpg",-120.7401385,47.7510741
"x372491544","x1100802804686434305",2019-02-27 17:00:15,"TuSNHD","¡Visite la biblioteca Clark County recoja su libro favorito y póngase las #vacunas que necesite! 1401 E. Flamingo! Nuestra clínica móvil estará hoy de 10a-1p https://t.co/K0YE3dFk8m @LVCCLD #flushot #immunization https://t.co/vPGo6SuiVf","Buffer",212,,,,FALSE,FALSE,1,1,"vacunas flushot immunization",,"j.mp/2DbgixA","https://t.co/K0YE3dFk8m","http://j.mp/2DbgixA","http://pbs.twimg.com/media/D0bWUOdWoAAKLNI.jpg","https://t.co/vPGo6SuiVf","https://twitter.com/TuSNHD/status/1100802804686434305/photo/1","photo","http://pbs.twimg.com/media/D0bWUOdWoAAKLNI.jpg","https://t.co/vPGo6SuiVf","https://twitter.com/TuSNHD/status/1100802804686434305/photo/1",,"x14245002","LVCCLD","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TuSNHD/status/1100802804686434305","TuSNHD","Las Vegas, Nevada","Para proteger y  promover la salud, el medio ambiente y el bienestar de los residentes y visitantes del Sur de Nevada","http://t.co/Beyh6PjJP9",FALSE,251,242,16,10977,20,2011-09-12 21:37:13,FALSE,"http://t.co/Beyh6PjJP9","http://www.southernnevadahealthdistrict.org","en","https://pbs.twimg.com/profile_banners/372491544/1357319662","http://abs.twimg.com/images/themes/theme8/bg.gif","http://pbs.twimg.com/profile_images/1540266683/SNHD-Espanol-Twitter_normal.jpg",-115.1398296,36.1699412
"x372491544","x1100804765917872128",2019-02-27 17:08:02,"TuSNHD","Pick up a good book and get your #immunizations at Clark County Library 1401 E. Flamingo! Our Mobile Clinic is on site 10a-1p today. https://t.co/K0YE3dFk8m @LVCCLD #publichealth #immunization #BacktoSchool #flushot https://t.co/8oYbmdKPQz","Buffer",215,,,,FALSE,FALSE,0,0,"immunizations publichealth immunization BacktoSchool flushot",,"j.mp/2DbgixA","https://t.co/K0YE3dFk8m","http://j.mp/2DbgixA","http://pbs.twimg.com/media/D0bYGYyXgAA9f5U.jpg","https://t.co/8oYbmdKPQz","https://twitter.com/TuSNHD/status/1100804765917872128/photo/1","photo","http://pbs.twimg.com/media/D0bYGYyXgAA9f5U.jpg","https://t.co/8oYbmdKPQz","https://twitter.com/TuSNHD/status/1100804765917872128/photo/1",,"x14245002","LVCCLD","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TuSNHD/status/1100804765917872128","TuSNHD","Las Vegas, Nevada","Para proteger y  promover la salud, el medio ambiente y el bienestar de los residentes y visitantes del Sur de Nevada","http://t.co/Beyh6PjJP9",FALSE,251,242,16,10977,20,2011-09-12 21:37:13,FALSE,"http://t.co/Beyh6PjJP9","http://www.southernnevadahealthdistrict.org","en","https://pbs.twimg.com/profile_banners/372491544/1357319662","http://abs.twimg.com/images/themes/theme8/bg.gif","http://pbs.twimg.com/profile_images/1540266683/SNHD-Espanol-Twitter_normal.jpg",-115.1398296,36.1699412
"x1270781","x1100797063229431809",2019-02-27 16:37:26,"jarin","#FluShot","Twitter for iPhone",8,,,,FALSE,FALSE,0,0,"FluShot",,,,,,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json","San Diego","San Diego, CA","city","United States","US","NA NA","NA NA","-117.282538 -116.9274403 -116.9274403 -117.282538 32.53962 32.53962 33.0804044 33.0804044","https://twitter.com/jarin/status/1100797063229431809","Jarin Udom","San Diego, CA","Programmer, cybersecurity engineer, nerd, dirty socialist, and hard drinker. My viewpoints are not the viewpoints of my employer or any rational person.",,FALSE,1211,2286,69,443,18355,2007-03-16 06:57:56,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1270781/1525827970","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/994020967562199040/XoL3sgEY_normal.jpg",-117.1610838,32.715738
"x3002118118","x1100793597539037188",2019-02-27 16:23:40,"RepSanfelippo","It's still not too late to get your #flushot to protect yourself and others from the spread of the influenza virus. https://t.co/Nr47u3kFQi","Twitter Web Client",115,,,,TRUE,FALSE,0,0,"flushot",,"twitter.com/DHSWI/status/1…","https://t.co/Nr47u3kFQi","https://twitter.com/DHSWI/status/1100786384288108544",,,,,,,,,,,"en","x1100786384288108544","Think the flu season is over? Think again! But it's not too late to protect yourself &amp; everyone around you from serious illness. Get a flu shot. Find where the shot is available near you at https://t.co/FkvJsQwTR3 @CDCFlu
#FightFlu https://t.co/wMJlfWXy7t",2019-02-27 15:55:00,"TweetDeck",0,0,"x293028988","DHSWI","WIDeptHealthServices",2808,256,6590,"Wisconsin, USA","The Official Twitter Account for the Wisconsin Department of Health Services -- Visit us online at:",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RepSanfelippo/status/1100793597539037188","Joe Sanfelippo","New Berlin, WI","Official Twitter profile of Wisconsin State Representative Joe Sanfelippo, proudly representing WI's 15th Assembly District","http://t.co/qJDtJXztH5",FALSE,1476,1002,59,3077,736,2015-01-27 21:16:47,FALSE,"http://t.co/qJDtJXztH5","http://legis.wisconsin.gov/assembly/sanfelippo/Pages/default.aspx","en","https://pbs.twimg.com/profile_banners/3002118118/1457538563","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/679684451102769152/xiERbmtz_normal.jpg",-88.1084224,42.9764027
"x291951344","x1099763428795867136",2019-02-24 20:10:08,"FindLawConsumer","When It's Too Late to Get a #FluShot
https://t.co/1NjaMhoaff","Hootsuite Inc.",60,,,,FALSE,FALSE,1,2,"FluShot",,"ow.ly/ZBxd30nNXKW","https://t.co/1NjaMhoaff","http://ow.ly/ZBxd30nNXKW",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FindLawConsumer/status/1099763428795867136","FindLaw Consumers","San Jose, CA","FindLaw for Consumers is making the law easy to access, tweeting interesting, entertaining and informative legal news! Our newsletters: https://t.co/zMdaKMby4e","http://t.co/tQepUdPBo7",FALSE,18509,1075,518,43808,719,2011-05-02 21:42:22,TRUE,"http://t.co/tQepUdPBo7","http://www.findlaw.com/","en","https://pbs.twimg.com/profile_banners/291951344/1537891817","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1046845738603270144/ue2vVJUd_normal.jpg",-121.8863286,37.3382082
"x291951344","x1100788012282249216",2019-02-27 16:01:28,"FindLawConsumer","When It's Too Late to Get a #FluShot https://t.co/z5Mo29xQzS","Hootsuite Inc.",60,,,,FALSE,FALSE,0,1,"FluShot",,"ow.ly/SdxO30nNXOY","https://t.co/z5Mo29xQzS","http://ow.ly/SdxO30nNXOY",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FindLawConsumer/status/1100788012282249216","FindLaw Consumers","San Jose, CA","FindLaw for Consumers is making the law easy to access, tweeting interesting, entertaining and informative legal news! Our newsletters: https://t.co/zMdaKMby4e","http://t.co/tQepUdPBo7",FALSE,18509,1075,518,43808,719,2011-05-02 21:42:22,TRUE,"http://t.co/tQepUdPBo7","http://www.findlaw.com/","en","https://pbs.twimg.com/profile_banners/291951344/1537891817","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1046845738603270144/ue2vVJUd_normal.jpg",-121.8863286,37.3382082
"x1000905301187481601","x1100787882007187457",2019-02-27 16:00:57,"ClovisCare","Protect your family and friends this winter. 
https://t.co/yERQlYiEoz 
…..
#Clovis #Fresno #ClovisUrgentCare #FresnoUrgentCare #CentralValley #559 #CSUFresno #FresnoDoctor #ClovisDoctor #MedicalCenter #WalkInClinic #UrgentCare #FluNews #Flu #FluSeason #FluShot #Sick https://t.co/TVMJa0HRfG","eClincher",266,,,,FALSE,FALSE,0,0,"Clovis Fresno ClovisUrgentCare FresnoUrgentCare CentralValley CSUFresno FresnoDoctor ClovisDoctor MedicalCenter WalkInClinic UrgentCare FluNews Flu FluSeason FluShot Sick",,"bit.ly/Clovis_Urgent_…","https://t.co/yERQlYiEoz","http://bit.ly/Clovis_Urgent_Care","http://pbs.twimg.com/media/D0bIvpyXgAYkd7z.png","https://t.co/TVMJa0HRfG","https://twitter.com/ClovisCare/status/1100787882007187457/photo/1","photo","http://pbs.twimg.com/media/D0bIvpyXgAYkd7z.png","https://t.co/TVMJa0HRfG","https://twitter.com/ClovisCare/status/1100787882007187457/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ClovisCare/status/1100787882007187457","Clovis Urgent Care","Clovis","Founded in 1983, Clovis Urgent Care is committed to providing the highest quality healthcare for residents of and visitors to the Clovis and Fresno communities.","https://t.co/ppcFHL26om",FALSE,113,741,1,111,1284,2018-05-28 01:03:14,FALSE,"https://t.co/ppcFHL26om","http://clovisurgentcare.com/","en","https://pbs.twimg.com/profile_banners/1000905301187481601/1528263375","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1000906163934842881/b7fMdbJm_normal.jpg",-103.2052272,34.4047987
"x916331911366180866","x1100770095285063680",2019-02-27 14:50:16,"UR_RPRC","Will Your #FluShot Weaken as #FluSeason Drags On? Read what Ann Falsey, MD had to say - https://t.co/XvyfwtiW1G","Twitter Web Client",111,,,,FALSE,FALSE,0,0,"FluShot FluSeason",,"webmd.com/cold-and-flu/n…","https://t.co/XvyfwtiW1G","https://www.webmd.com/cold-and-flu/news/20190225/will-your-flu-shot-weaken-as-flu-season-drags-on",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UR_RPRC/status/1100770095285063680","UR RPRC","Rochester, NY","RPRC consists of a national network of scientists focused on research that will lead to important changes in the treatment & prevention of respiratory pathogens","https://t.co/mxVsdw5sv6",FALSE,25,85,1,53,0,2017-10-06 15:58:47,FALSE,"https://t.co/mxVsdw5sv6","https://www.urmc.rochester.edu/respiratory-pathogens-research-center.aspx","en","https://pbs.twimg.com/profile_banners/916331911366180866/1508851157","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/922819136446705664/Osjpsc3p_normal.jpg",-77.6088465,43.1565779
