bill,gun	1
bill,nra	4
firearm,firearm	3
firearm,gun	2
firearm,law	40
firearm,legislation	5
firearm,program	1
gun,bill	82
gun,firearm	3
gun,gun	5
gun,law	218
gun,legislation	76
gun,program	4569
gun,shooting	3
law,bill	2
law,firearm	1
law,gun	1
law,nra	1
legal,firearm	1
legal,gun	58
nra,gun	9137
nra,law	2283
nra,nra	1
nra,program	6850
shooting,gun	17
woman,gun	1
